code,idgrade,mean_dropout
1504109,5,6.625
1504109,9,12.2625
1504208,5,2.765
1504208,9,7.043750000000001
1504307,5,4.705
1504307,9,8.512500000000001
1504406,5,3.5
1504406,9,7.287500000000001
1504422,5,3.22
1504422,9,6.568749999999999
1504455,5,3.115
1504455,9,9.825000000000001
1504505,5,4.355
1504505,9,11.65625
1504604,5,3.080000000000001
1504604,9,6.6125
1504703,5,3.54
1504703,9,8.181250000000002
1504752,5,3.76
1504752,9,12.9875
1504802,5,1.775
1504802,9,6.175000000000001
1504901,5,5.275
1504901,9,12.09375
1504950,5,6.244999999999999
1504950,9,10.41875
1504976,5,2.865
1504976,9,6.33125
1505007,5,1.715
1505007,9,6.537500000000001
1505031,5,2.754999999999999
1505031,9,9.706249999999999
1505064,5,3.25
1505064,9,11.55625
1505106,5,1.5
1505106,9,6.343749999999999
1505205,5,3.385
1505205,9,9.225
1505304,5,1.94
1505304,9,6.625
1505403,5,3.414999999999999
1505403,9,6.65625
1505437,5,4.534999999999999
1505437,9,7.056249999999999
1505486,5,6.665000000000001
1505486,9,14.75
1505494,5,3.42
1505494,9,7.174999999999999
