numero,categoria_profissional,localizacao_geografica,empregador_trabalhadores,abrangencia,alvo_esfera,inicio,dias,carater1,carater2,carater3
8352,Professores Rede Municipal,Serra/ES,,categoria,poder executivo/municipal,2/6/1996,92,-,defensiva,-
8355,"Professores Rede Estadual, Professores Rede Municipal",PA,,categoria,"poder executivo/estadual, poder executivo/municipal",3/21/1996,7,-,defensiva,-
8358,Professores Rede Municipal,Currais Novos/RN,,categoria,poder executivo/municipal,3/26/1996,1,-,defensiva,-
8367,"Auxiliares de Administração Escolar Rede Estadual, Professores Rede Estadual",PE,,categoria,poder executivo/estadual,2/29/1996,15,propositiva,-,-
8370,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Salvador/BA,,categoria,poder executivo/municipal,3/1/1996,15,-,defensiva,-
8705,Professores Rede Estadual,DF,,categoria,poder executivo/estadual,4/9/1996,44,propositiva,-,-
8706,Professores Rede Estadual,RJ,,categoria,poder executivo/estadual,4/18/1996,1,propositiva,-,protesto
8707,Professores Rede Estadual,PR,,categoria,poder executivo/estadual,4/23/1996,1,propositiva,-,-
8708,Professores Rede Municipal,Ipirá/BA,,categoria,poder executivo/municipal,3/6/1996,30,-,defensiva,-
8709,Professores Rede Municipal,GO,ESCOLA MUNICIPAL PALMEIRAS DE GOIÁS,categoria,poder executivo/municipal,4/2/1996,1,-,defensiva,-
8710,Professores Rede Municipal,Icó/CE,,categoria,poder executivo/municipal,4/19/1996,1,-,defensiva,-
8711,Professores Rede Municipal,Araguaína/TO,,categoria,poder executivo/municipal,2/1/1996,62,-,defensiva,-
8713,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",João Pessoa/PB,,categoria,poder executivo/municipal,4/17/1996,8,-,defensiva,-
8714,"Auxiliares de Administração Escolar Rede Municipal, Professores Rede Municipal",Mulungu/PB,COLÉGIO MUNICIPAL HERMENEGILDO ROCHA PONTES,categoria,poder executivo/municipal,2/1/1996,64,-,defensiva,-
9102,Professores Rede Estadual,Rio de Janeiro/RJ,,categoria,poder executivo/estadual,5/7/1996,1,propositiva,-,-
9103,Professores Rede Estadual,MS,,categoria,poder executivo/estadual,5/20/1996,1,-,defensiva,-
9105,Professores Rede Estadual,Araguaína/TO,,categoria,poder executivo/estadual,5/14/1996,1,propositiva,-,-
9106,Professores Rede Municipal,Recife/PE,,categoria,poder executivo/municipal,5/27/1996,1,propositiva,-,-
9127,Professores Rede Federal Ensino Superior,Maceió/AL,Universidade Federal AL,categoria,poder executivo/federal,4/27/1994,1,propositiva,defensiva,-
9128,Professores Rede Estadual,BA,,categoria,poder executivo/estadual,5/15/1996,1,propositiva,defensiva,-
9132,Professores Rede Municipal,Campo Grande/MS,,categoria,poder executivo/municipal,5/20/1996,1,propositiva,-,-
9136,Professores Rede Municipal,Goiânia/GO,,categoria,poder executivo/municipal,5/31/1996,1,propositiva,defensiva,-
9159,Professores Rede Federal Ensino Superior,Manaus/AM,UFAM - UNIVERSIDADE FEDERAL DO AMAZONAS,categoria,poder executivo/federal,4/19/1994,45,propositiva,defensiva,protesto
9162,Professores Rede Federal Ensino Técnico-Profissional,Curitiba/PR,CEFET/PR - CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DO PARANÁ,categoria,poder executivo/federal,4/28/1994,2,propositiva,-,-
9164,Professores Rede Estadual Ensino Superior,SP,,categoria,poder executivo/estadual,4/29/1994,1,propositiva,-,-
9173,Professores Rede Municipal,Belo Horizonte/MG,,categoria,poder executivo/municipal,4/28/1994,1,propositiva,-,-
9178,Auxiliares de Administração Escolar Rede Municipal,São Paulo/SP,,categoria,poder executivo/municipal,5/8/1996,1,propositiva,defensiva,protesto
9182,Auxiliares de Administração Escolar Rede Federal Ensino Superior,Belo Horizonte/MG,UFMG - UNIVERSIDADE FEDERAL DE MINAS GERAIS,categoria,poder executivo/federal,4/20/1994,7,propositiva,-,-
9184,Auxiliares de Administração Escolar Rede Federal Ensino Superior,Brasília/DF,Universidade Brasilia,categoria,poder executivo/federal,4/19/1994,1,propositiva,-,-
9185,Auxiliares de Administração Escolar Rede Federal Ensino Superior,Cuiabá/MT,UFMT - UNIVERSIDADE FEDERAL DE MATO GROSSO,categoria,poder executivo/federal,4/19/1994,9,propositiva,-,-
9186,Auxiliares de Administração Escolar Rede Federal Ensino Superior,Goiânia/GO,Universidade Federal GO,categoria,poder executivo/federal,4/19/1994,9,propositiva,defensiva,-
9187,Professores Rede Estadual Ensino Superior,São Paulo/SP,,categoria,poder executivo/estadual,5/24/1996,23,propositiva,defensiva,protesto
9189,Auxiliares de Administração Escolar Rede Federal Ensino Superior,São Carlos/SP,UFSCAR - UNIVERSIDADE FEDERAL DE SÃO CARLOS,categoria,poder executivo/federal,4/19/1994,36,propositiva,-,-
9191,"Auxiliares de Administração Escolar Rede Estadual, Professores Rede Estadual",RJ,,categoria,poder executivo/estadual,5/22/1996,1,propositiva,-,protesto
