FID,NM_MUNICIP,CD_GEOCMU,x_cent,y_cent
387,PUTINGA,4315206,-52.147787345099999,-29.028559544800000
388,QUARAÍ,4315305,-56.152333095499998,-30.279771197599999
389,QUATRO IRMÃOS,4315313,-52.470948949899999,-27.843068604300001
390,QUEVEDOS,4315321,-54.065490883999999,-29.309640364100002
391,QUINZE DE NOVEMBRO,4315354,-53.116649236699999,-28.757039445099998
392,REDENTORA,4315404,-53.633275732599998,-27.573128981100002
393,RELVADO,4315453,-52.067846808500001,-29.118590971300002
394,RESTINGA SECA,4315503,-53.344128741100000,-29.817718995700002
395,RIO DOS ÍNDIOS,4315552,-52.879567918900001,-27.252817130000000
396,RIO GRANDE,4315602,-52.404580633099997,-32.220069355299998
397,RIO PARDO,4315701,-52.436942662699998,-30.022804156199999
398,ROCA SALES,4315800,-51.829414869099999,-29.256971684600000
399,RODEIO BONITO,4315909,-53.170522849900003,-27.463353610999999
400,ROLADOR,4315958,-54.834439979999999,-28.255171945800001
