ibge,ano,n_families_pbf,value_pbf
210290,2004,1407.25,1309233
210300,2004,7880.5,7249114
210310,2004,36.58333333333334,28780
210312,2004,488.5,465738
210315,2004,536.6666666666666,488330
210317,2004,888.1666666666666,806210
210320,2004,4439.666666666667,4202905
210325,2004,508.4166666666667,452359
210330,2004,4900.583333333333,4401060
210340,2004,3868.333333333333,3539235
210350,2004,663.3333333333334,581729
210355,2004,245.1666666666667,228264
210360,2004,4474.166666666667,3975379
210370,2004,1545.25,1430437
210375,2004,727.4166666666666,667468
210380,2004,670.6666666666666,586467
210390,2004,789.3333333333334,759857
210400,2004,1634.333333333333,1448445
210405,2004,812.0833333333334,745960
210407,2004,318.8333333333333,196326
210408,2004,124.5833333333333,125873
210409,2004,974.6666666666666,903529
210410,2004,807.9166666666666,785135
210420,2004,551.25,509125
210430,2004,448.0833333333333,412881
210440,2004,399.25,363134
210450,2004,504.9166666666667,459445
210455,2004,561.4166666666666,511620
210460,2004,772.4166666666666,676253
210462,2004,398.5833333333333,338753
210465,2004,845.0833333333334,778522
210467,2004,1504.166666666667,1458916
210470,2004,388.1666666666667,331670
210480,2004,687.3333333333334,637563
210490,2004,1044,968008
210500,2004,1379.416666666667,1286861
210510,2004,1538.083333333333,1477341
210515,2004,353.6666666666667,336405
210520,2004,692.5,610437
210530,2004,7806.5,6518461
210535,2004,204.1666666666667,177700
210540,2004,3204.416666666667,3067382
210542,2004,1110.416666666667,965080
210545,2004,10.16666666666667,7481
210547,2004,896.8333333333334,788861
210550,2004,1534.666666666667,1396716
210560,2004,713.9166666666666,603933
210565,2004,328.8333333333333,291940
210570,2004,1663.5,1528768
210580,2004,654.3333333333334,615503
210590,2004,592.0833333333334,553280
210592,2004,914.4166666666666,865143
210594,2004,519.1666666666666,479415
210596,2004,1107.75,985137
210598,2004,286.75,269563
210600,2004,660.6666666666666,562105
210610,2004,404.1666666666667,325155
210620,2004,392.5,372198
210630,2004,1008,946168
210632,2004,480.0833333333333,464973
210635,2004,54.08333333333334,52510
210637,2004,685.0833333333334,597421
210640,2004,915.9166666666666,863441
210650,2004,1731.5,1434797
210660,2004,2309,2177282
210663,2004,602.4166666666666,552688
210667,2004,241.4166666666667,229860
210670,2004,1413.75,1331175
210675,2004,1045.5,879889
210680,2004,952.5,900635
210690,2004,761.4166666666666,745504
210700,2004,217.3333333333333,186919
210710,2004,617.6666666666666,647344
210720,2004,249.9166666666667,235469
210725,2004,146.3333333333333,141001
210730,2004,253.75,249871
210735,2004,793.8333333333334,715128
210740,2004,1506.833333333333,1366297
210745,2004,890.0833333333334,801273
210750,2004,2787.75,2428369
210760,2004,1283.5,1194918
210770,2004,1128,975397
210780,2004,1603.416666666667,1460359
210790,2004,823.0833333333334,741354
210800,2004,1045.916666666667,991950
210805,2004,1021.166666666667,977759
210810,2004,1281.75,1212354
210820,2004,2235.75,1880170
210825,2004,678.9166666666666,639018
210830,2004,2016.333333333333,1850322
210840,2004,1045.416666666667,949589
210845,2004,1376.583333333333,1216771
210850,2004,1647.083333333333,1516648
210860,2004,5673.083333333333,5191643
210870,2004,1681.5,1604212
210880,2004,1375.666666666667,1352477
210890,2004,1573.166666666667,1352261
210900,2004,639.6666666666666,595710
210905,2004,345.6666666666667,327304
210910,2004,3442.833333333333,2921303
210920,2004,619.0833333333334,606288
210923,2004,266.3333333333333,258889
210927,2004,956.3333333333334,875432
210930,2004,827.8333333333334,773545
210940,2004,821.25,839116
